Record_Nr;Pipe_description;Code_ASME;Code_Y;codeTol;TempF;AllowPsi
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;400;18000
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;500;17010
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;600;15570
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;650;15300
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;700;15120
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;750;12510
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;800;10260
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;850;8100
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;900;5850
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;950;4050
24;EFW -ASTM A671 Gr.CC65 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;1000;2250
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;100;20970
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;200;20790
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;300;20250
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;400;19530
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;500;18450
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;600;16830
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;650;16560
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;700;16470
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;750;13320
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;800;10800
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;850;8370
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;900;5850
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;950;4050
25;EFW -ASTM A671 Gr.CC70 Cl.22+TB 5451 (E=0.9);B31.3-2002;1;5;1000;2250
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;100;17000
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;200;16575
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;300;16065
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;400;15555
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;500;14705
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;600;13430
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;650;13175
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;700;13090
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;750;11050
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;800;9180
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;850;7395
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;900;5525
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;950;3825
26;EFW -ASTM A671 Gr.CC60 Cl.13 (E=0.85);B31.3-2002;1;5;1000;2125
27;EFW -ASTM A672 Gr.A55 Cl.22 (E=1);B31.3-2002;1;5;100;18300
27;EFW -ASTM A672 Gr.A55 Cl.22 (E=1);B31.3-2002;1;5;200;18300
27;EFW -ASTM A672 Gr.A55 Cl.22 (E=1);B31.3-2002;1;5;300;17700
27;EFW -ASTM A672 Gr.A55 Cl.22 (E=1);B31.3-2002;1;5;400;17200
