id;TempF;R_150;R_300;R_400;R_600;R_900;R_1500;R_2500;R_4500
64;900;225;585;775;1165;1750;2915;4855;8740
64;950;180;470;630;945;1415;2360;3930;7070
64;1000;160;420;560;840;1260;2105;3505;6310
64;1050;160;420;560;840;1260;2105;3505;6310
64;1100;155;405;540;805;1210;2015;3360;6045
64;1150;130;345;460;685;1030;1715;2860;5145
64;1200;100;260;345;515;770;1285;2145;3860
64;1250;90;230;305;455;680;1135;1895;3410
64;1300;65;170;230;345;515;860;1430;2570
64;1350;50;130;170;260;385;645;1070;1930
64;1400;35;95;125;190;285;470;785;1415
64;1450;30;75;100;145;220;365;610;1095
64;1500;20;50;70;105;155;260;430;770
65;100;275;720;960;1440;2160;3600;6000;10800
65;200;260;720;960;1440;2160;3600;6000;10800
65;300;230;680;905;1360;2040;3400;5670;10205
65;400;200;640;855;1280;1920;3205;5340;9610
65;500;170;610;815;1225;1835;3060;5100;9180
65;600;140;595;790;1190;1780;2970;4950;8910
65;650;125;570;760;1140;1705;2845;4740;8530
66;100;290;750;1000;1500;2250;3750;6250;11250
66;200;290;750;1000;1500;2250;3750;6250;11250
66;300;290;750;1000;1500;2250;3750;6250;11250
66;400;275;715;955;1430;2145;3575;5960;10730
66;500;260;685;910;1365;2050;3415;5690;10245
66;600;255;665;885;1325;1990;3315;5525;9945
66;650;245;635;845;1270;1905;3175;5290;9520
67;100;245;640;855;1280;1920;3205;5340;9610
67;200;230;600;800;1200;1805;3005;5010;9020
67;300;210;545;725;1085;1630;2720;4530;8155
67;400;190;495;660;995;1490;2485;4140;7450
67;500;170;455;610;915;1370;2285;3810;6860
67;600;140;430;575;865;1295;2160;3600;6480
67;650;125;420;560;840;1265;2105;3510;6320
67;700;110;410;545;820;1230;2050;3420;6155
68;100;275;715;955;1430;2145;3575;5960;10730
68;200;255;670;895;1340;2015;3355;5590;10065
68;300;235;605;810;1215;1820;3035;5055;9100
68;400;215;555;740;1110;1665;2770;4620;8315
68;500;195;510;680;1020;1530;2550;4250;7655
68;600;185;480;645;965;1445;2410;4020;7230
68;650;180;470;625;940;1410;2350;3915;7050
68;700;175;460;610;915;1375;2290;3815;6870
69;100;260;670;895;1345;2015;3360;5600;10080
69;200;240;625;830;1245;1870;3115;5190;9340
69;300;225;585;780;1175;1760;2935;4890;8800
69;400;200;535;715;1075;1610;2680;4470;8045
69;500;170;500;665;1000;1500;2500;4170;7505
69;600;140;475;635;950;1425;2375;3960;7130
69;650;125;465;620;930;1395;2320;3870;6965
69;700;110;450;600;900;1350;2250;3750;6750
69;750;95;445;590;885;1330;2215;3690;6640
69;800;80;430;575;865;1295;2160;3600;6480
70;100;290;750;1000;1500;2250;3750;6250;11250
70;200;265;695;925;1390;2085;3475;5790;10425
70;300;250;655;875;1310;1965;3275;5460;9825
70;400;230;600;800;1195;1795;2995;4990;8980
70;500;215;560;745;1115;1675;2790;4655;8375
70;600;205;530;705;1060;1590;2650;4420;7955
70;650;200;520;690;1035;1555;2590;4320;7775
